"name";"price";"url";"shop";"city"
"Laptop Gaming COLORFUL EVOL P15 GeForce RTX 4060 i7-13620H";"Rp18.699.000";"https://www.tokopedia.com/tech-in-store/laptop-gaming-colorful-evol-p15-geforce-rtx-4060-i7-13620h-putih-6978f?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Tech In Store";"Jakarta Utara"
"ACER PREDATOR HELIOS NEO 16 PHN16-72-93X3 - GeForce RTX 4060 Core i9-14900HX 1TB SSD 16GB RAM Notebook Laptop Gaming";"Rp24.799.000";"https://www.tokopedia.com/gasoldinoyo/acer-predator-helios-neo-16-phn16-72-93x3-geforce-rtx-4060-core-i9-14900hx-1tb-ssd-16gb-ram-notebook-laptop-gaming-1734445400528356520?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"GASOL DINOYO MALANG";"Malang"
"ACER LAPTOP GAMING PREDATOR TRITON NEO 16 PTN16-51-98BM GRAPHICS NVIDIA GEFORCE RTX 4060 16"" WQXGA INTEL CORE ULTRA 9 185H RAM 32GB STORAGE 1TB SSD WINDOWS 11";"Rp33.099.000";"https://www.tokopedia.com/acer-indonesia/acer-predator-triton-neo-16-ptn16-51-98bm-intel-core-ultra-9-185h-nvidia-geforce-rtx-4060-32gb-ram-1tb-ssd?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Acer Indonesia";"Jakarta Timur"
"Adaptor Charger For Laptop Lenovo Legion Pro 9 7 7i 5i 5 RTX 4060 4070 4080 4090 Gaming Laptop ADL330SDC3A ADL330SCC3A GX21M50608 GX21K06347 20V 16.5A 330W";"Rp2.500.000";"https://www.tokopedia.com/specialistsparepart/adaptor-charger-for-laptop-lenovo-legion-pro-9-7-7i-5i-5-rtx-4060-4070-4080-4090-gaming-laptop-adl330sdc3a-adl330scc3a-gx21m50608-gx21k06347-20v-16-5a-330w-1730784914924340406?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"FIVE STAR COMP";"Jakarta Pusat"
"LAPTOP ASUS ROG RTX 3070 8GB 16GB RAM 1-1.5 TB SSD RYZEN 7 5800H 99Wth 300Hz Display RGB PERKEY Not 4060 MSI";"Rp15.000.000";"https://www.tokopedia.com/ruellia/laptop-asus-rog-rtx-3070-8gb-16gb-ram-1-1-5-tb-ssd-ryzen-7-5800h-99wth-300hz-display-rgb-perkey-not-4060-msi-1729994737967138253?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Ruellia.Corp";"Tangerang Selatan"
"Laptop Gaming COLORFUL EVOL P15 GeForce RTX 4060 i7-13620H RAM 16GB SSD 512GB";"Rp17.999.000";"https://www.tokopedia.com/tokobaruofficial/laptop-gaming-colorful-evol-p15-geforce-rtx-4060-i7-13620h-ram-16gb-ssd-512gb-1731006500516496731?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"tokobaru.co.id";"Jakarta Pusat"
"LENOVO ThinkPad P1 Gen 6 Intel Core i7-13800H 32GB 1TB SSD Nvidia RTX 4060 8GB 16"" WQXGA IPS 500nits Windows 11 Pro 21FVS02R00 2R00 - Laptop Business Commercial Bisnis";"Rp42.399.900";"https://www.tokopedia.com/onyxtechnology/lenovo-thinkpad-p1-gen-6-intel-core-i7-13800h-32gb-1tb-ssd-nvidia-rtx-4060-8gb-16-wqxga-ips-500nits-windows-11-pro-21fvs02r00-2r00-laptop-business-commercial-bisnis-1729952620717180265?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Onyx Technology";"Jakarta Pusat"
"Colorful Laptop Gaming EVOL P15 23-HJ76B-B, Intel Core i7-13620H, NVIDIA GeForce RTX 4060 8GB, 16GB DDR5, 512GB SSD, 15.6 QHD 165Hz, Windows 11 Home, Pine Blue, 2Yr Warranty";"Rp17.899.900";"https://www.tokopedia.com/duniastorage/colorful-laptop-gaming-evol-p15-23-hj76b-b-intel-core-i7-13620h-nvidia-geforce-rtx-4060-8gb-16gb-ddr5-512gb-ssd-15-6-qhd-165hz-windows-11-home-pine-blue-2yr-warranty-1732949811751585478?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Dunia Storage Komputer";"Jakarta Pusat"
"Colorful Laptop AI PC EPOCH N14-AI PC Intel Core i7-13620H NVIDIA GeForce RTX 4060 8GB 16GB DDR5 512GB SSD 14 QHD 165Hz Windows 11 Home Garansi 2 Tahun";"Rp19.999.000";"https://www.tokopedia.com/duniastorage/colorful-laptop-ai-pc-epoch-n14-ai-pc-intel-core-i7-13620h-nvidia-geforce-rtx-4060-8gb-16gb-ddr5-512gb-ssd-14-qhd-165hz-windows-11-home-garansi-2-tahun-1732949811848775366?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Dunia Storage Komputer";"Jakarta Pusat"
"COLORFUL Laptop Gaming EVOL P15 23-HJ76B-W/G Intel Core i7-13620H NVIDIA RTX 4060 8GB SSD 512GB Windows 11 Home Grey";"Rp17.899.900";"https://www.tokopedia.com/duniastorage/colorful-laptop-gaming-evol-p15-23-hj76b-w-g-intel-core-i7-13620h-nvidia-rtx-4060-8gb-ssd-512gb-windows-11-home-grey-1732949836992186054?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Dunia Storage Komputer";"Jakarta Pusat"
"LAYAR LED LCD LAPTOP LENOVO LOQ 15 APR9 15-APR9 15APR9 RYZEN 5 7 7435HS RTX 4060 15.6"" 15.6 INCH FULLHD FULL HD FHD IPS 1920 1080 ANTI GLARE 100% SRGB 72 NTSC";"Rp1.600.000";"https://www.tokopedia.com/marketcomputer/layar-led-lcd-laptop-lenovo-loq-15-apr9-15-apr9-15apr9-ryzen-5-7-7435hs-rtx-4060-15-6-15-6-inch-fullhd-full-hd-fhd-ips-1920-1080-anti-glare-100-srgb-72-ntsc-100-srgb-17d3c?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Market Computer_NEW";"Jakarta Pusat"
"LAPTOP GAMING LENOVO LOQ 15ARP9 R7-7435HS RTX 4060 100% sRGB 144Hz";"Rp14.700.000";"https://www.tokopedia.com/planetlaptopbandung/laptop-gaming-lenovo-loq-15arp9-r7-7435hs-rtx-4060-100-srgb-144hz-1733008060055324233?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"planetlaptopbandung";"Bandung"
"Laptop Gaming Tipis Anime Matrix Asus ROG Zephyrus G14 GA402RJ-R7X6B6G-O Animatrix Nebula Display OLED R7-6800HS RX6800S RX 6800S 8GB GDDR6 RTX 3070 4050 4060 Lenovo Legion Slim Yoga 5 7 Pro Zenbook MSI Stealth Acer Swift Macbook Pro 14 15 inch M2 M3 M4";"Rp16.550.000";"https://www.tokopedia.com/dasir-dept-elektronik/laptop-gaming-tipis-anime-matrix-asus-rog-zephyrus-g14-ga402rj-r7x6b6g-o-animatrix-nebula-display-oled-r7-6800hs-rx6800s-rx-6800s-8gb-gddr6-rtx-3070-4050-4060-lenovo-legion-slim-yoga-5-7-pro-zenbook-msi-stealth-acer-swift-macbook-pro-14-15-inch-m2-m3-m4-1731599695738734555?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Dasir Dept Elektronik";"Bandung"
"MSI Cyborg 15 i7 Gen 13 RTX 4060 6 GB FHD IPS 144 Hz Fullset Like New RESMI Garansi Panjang Gaming Desain Laptop || not Katana Thin";"Rp15.500.000";"https://www.tokopedia.com/genstore-notebook/msi-cyborg-15-i7-gen-13-rtx-4060-6-gb-fhd-ips-144-hz-fullset-like-new-resmi-garansi-panjang-gaming-desain-laptop-not-katana-thin-1731629945166727141?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"GenStore Notebook";"Bandung"
"LAPTOP GAMING LOQ 15IRX9 i7-13650HX RTX 4060 12GB DDR5 512GB 15.6"" IPS 144Hz Windows  11";"Rp16.915.000";"https://www.tokopedia.com/disstributorlaptop/laptop-gaming-loq-15irx9-i7-13650hx-rtx-4060-12gb-ddr5-512gb-15-6-ips-144hz-windows-11-1731448900555998602?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"DisstributorLaptop";"Jakarta Timur"
"Colorful Laptop Gaming P15 i7-13620H 16GB 512GB SSD RTX 4060 15.6"" W11";"Rp16.999.000";"https://www.tokopedia.com/theideapremium/colorful-laptop-gaming-p15-i7-13620h-16gb-512gb-ssd-rtx-4060-15-6-w11-1730782301068559609?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Theidea Premium";"Jakarta Pusat"
"Acer Laptop Nitro V15 ANV15-51-901S GeForce RTX 4060 8GB-i9 13900H 16GB 512GB SSD Windows Gaming Terbaik";"Rp18.000.000";"https://www.tokopedia.com/ola-com/acer-laptop-nitro-v15-anv15-51-901s-geforce-rtx-4060-8gb-i9-13900h-16gb-512gb-ssd-windows-gaming-terbaik-1733631267211675093?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Ola Com";"Jakarta Timur"
