"name";"price";"url";"shop";"city"
"COLORFUL EVOL P15 23-HJ76B-G - GeForce RTX 4060 Core i7-13620H 512GB SSD 16GB RAM Grey Notebook Laptop Gaming";"Rp17.599.000";"https://www.tokopedia.com/gasol-laptop/colorful-evol-p15-23-hj76b-g-geforce-rtx-4060-core-i7-13620h-512gb-ssd-16gb-ram-grey-notebook-laptop-gaming-1734313782312010799?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Gasol WTC Surabaya";"Surabaya"
"Laptop Gaming COLORFUL EVOL P15 GeForce RTX 4060 i7-13700HX";"Rp19.699.000";"https://www.tokopedia.com/nvidiageforce/laptop-gaming-colorful-evol-p15-geforce-rtx-4060-i7-13700hx?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"NVIDIA GEFORCE";"Jakarta Utara"
"COLORFUL EVOL P15 23-HJ76B-G - GeForce RTX 4060 Core i7-13620H 512GB SSD 16GB RAM Grey Notebook Laptop Gaming";"Rp17.599.000";"https://www.tokopedia.com/gasol-kaliurang/colorful-evol-p15-23-hj76b-g-geforce-rtx-4060-core-i7-13620h-512gb-ssd-16gb-ram-grey-notebook-laptop-gaming-1734313782313518205?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"GASOL KALIURANG";"Malang"
"Pickup / Kurir Toko | Laptop Gaming AXIOO PONGO 760 V2 Intel Core i7 13620H RTX 4060 16GB 512SSD 15.6"" 144Hz";"Rp17.205.000";"https://www.tokopedia.com/teknotrend/laptop-gaming-axioo-pongo-760-v2-intel-core-i7-13620h-rtx-4060-16gb-512ssd-15-6-144hz-1735079417943525314-1735079398482479042?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"TeknoTrend ID";"Jakarta Pusat"
"ACER PREDATOR HELIOS NEO 16 PHN16-72-93X3 - GeForce RTX 4060 Core i9-14900HX 1TB SSD 16GB RAM Notebook Laptop Gaming";"Rp24.799.000";"https://www.tokopedia.com/gasolsurabaya/acer-predator-helios-neo-16-phn16-72-93x3-geforce-rtx-4060-core-i9-14900hx-1tb-ssd-16gb-ram-notebook-laptop-gaming-1734445399974316027?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Gasol Maspion Square Surabaya";"Surabaya"
"COLORFUL EVOL P15 | Laptop Gaming i7 13620H RTX 4060 512GB SSD 16GB DDR5 QHD 165Hz sRGB";"Rp18.699.000";"https://www.tokopedia.com/toko-expert-komputer/colorful-evol-p15-laptop-gaming-i7-13620h-512gb-ssd-16gb-ddr5-qhd-165hz-srgb-1732803277055820997?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Toko Expert Komputer";"Jakarta Pusat"
"Laptop Gaming COLORFUL EPOCH N14 GeForce RTX 4060 i7-13620H";"Rp20.499.000";"https://www.tokopedia.com/tech-in-store/laptop-gaming-colorful-epoch-n14-geforce-rtx-4060-i7-13620h-1732067966188947271?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Tech In Store";"Jakarta Utara"
"ACER PREDATOR HELIOS NEO 16 PHN16-72-93X3 - GeForce RTX 4060 Core i9-14900HX 1TB SSD 16GB RAM Notebook Laptop Gaming";"Rp24.799.000";"https://www.tokopedia.com/gasol-laptop/acer-predator-helios-neo-16-phn16-72-93x3-geforce-rtx-4060-core-i9-14900hx-1tb-ssd-16gb-ram-notebook-laptop-gaming-1734445399282648111?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Gasol WTC Surabaya";"Surabaya"
"Laptop Gaming Colorful Epoch N14 AI PC - Intel Core i7-13620H | 16GB | GeForce RTX 4060 | SSD NVMe 512GB";"Rp19.949.000";"https://www.tokopedia.com/central-display/laptop-gaming-colorful-epoch-n14-ai-pc-intel-core-i7-13620h-16gb-geforce-rtx-4060-ssd-nvme-512gb-1733754307754690166?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Central Display";"Jakarta Pusat"
"COLORFUL EVOL P15 23-HJ76B-G - GeForce RTX 4060 Core i7-13620H 512GB SSD 16GB RAM Grey Notebook Laptop Gaming";"Rp17.599.000";"https://www.tokopedia.com/galaxy-solusindo/colorful-evol-p15-23-hj76b-g-geforce-rtx-4060-core-i7-13620h-512gb-ssd-16gb-ram-grey-notebook-laptop-gaming-1734313389523961249?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Galaxy Solusindo";"Malang"
